Date,EUA_Price,PA_NAV,OIL_NAV
2022-04-07,77.13,5,32.309999999999995
2022-04-08,80.21000000000001,5.06,33.4
2022-04-11,79.02,5.03,33.1
2022-04-12,77.36,5,33.55
2022-04-13,77.27,4.99,33.839999999999996
2022-04-14,78.8,5.03,34.03
2022-04-19,79.4,4.98,33.879999999999995
2022-04-21,85.9,5.04,33.730000000000004
2022-04-22,87.4,4.95,32.82
2022-04-25,85.81,4.88,31.24
2022-04-26,83.43,4.84,31.53
2022-04-27,79.99000000000001,4.88,31.85
2022-04-28,80.55,4.9,32.44
2022-04-29,82.86,4.930000000000001,32.67
2022-08-01,79.5,4.859999999999999,32.63
2022-08-02,80.51,4.84,32.809999999999995
2022-08-03,83.45,4.859999999999999,32.9
2022-08-04,83.81,4.88,32.48
2022-08-05,84.5,4.83,32.68
2022-08-08,84.6,4.87,32.839999999999996
2022-08-09,84.06,4.83,33.190000000000005
2022-08-11,86.35,4.88,33.99
2022-08-12,87.3,4.88,33.949999999999996
2022-08-15,89.5,4.91,33.5
2022-08-16,90.64,4.91,33.760000000000005
2022-08-17,94.07,4.859999999999999,33.82
2022-08-18,94,4.88,34.44
2022-08-19,96.86999999999999,4.84,34.48
2022-08-22,97.5,4.79,34.690000000000005
2022-08-23,92.52,4.76,35.78
2022-08-25,89.3,4.79,35.809999999999995
2022-08-26,89.56,4.7,35.67
2022-08-30,85.13,4.619999999999999,34.879999999999995
2022-08-31,78.96000000000001,4.57,33.98
2022-09-01,77.01,4.48,33.660000000000004
2022-09-02,78.41000000000001,4.57,34.4
2022-09-05,73.75,4.54,35.15
2022-09-06,71.05,4.56,34.260000000000005
2022-09-07,69.06,4.55,33.21
2022-09-09,65.21000000000001,4.63,33.68
2022-09-12,65.96000000000001,4.71,34.11
2022-09-13,70.48,4.63,33.82
2022-09-14,68.29,4.58,34.09
2022-09-15,70.84,4.56,33.379999999999995
2022-09-16,71,4.49,32.82
2022-09-20,70.38,4.42,32.48
2022-09-21,70.39,4.46,33.05
2022-09-22,69.88,4.359999999999999,32.99
2022-09-23,67.56,4.28,31.06
2022-09-26,66.02,4.26,30.93
2022-09-27,67.7,4.25,31.37
2022-09-28,64.71000000000001,4.2700000000000005,31.43
2022-09-29,64.7,4.2,31.3
2022-09-30,66.86999999999999,4.26,31.67
2022-11-01,78.76,4.48,35.309999999999995
2022-11-03,76.63,4.42,35.620000000000005
2022-11-04,78.14,4.51,36.05
2022-11-07,76.75,4.52,36.220000000000006
2022-11-08,76.02,4.57,35.620000000000005
2022-11-09,75.35,4.57,34.97
2022-11-10,71.61999999999999,4.73,34.98
2022-11-11,73.33,4.73,35.230000000000004
2022-11-14,74.85,4.73,35.13
2022-11-15,74.93,4.74,35.55
2022-11-16,74.25,4.6899999999999995,35.44
2022-11-17,73.31,4.67,35.04
2022-11-18,72.22,4.73,35
2022-11-21,73.36,4.74,34.07
2022-11-22,73.54,4.76,35.7
2022-11-23,74.08,4.79,35.74
2022-11-24,76.64,4.81,35.89
2022-11-25,79.36,4.81,36.14
2022-11-28,77.61,4.7700000000000005,35.65
2022-11-29,78.88,4.75,36.28
2023-01-09,75.27,4.89,35.53
2023-01-10,78.61,4.859999999999999,35.32
2023-01-12,76.8,4.91,36.03
2023-01-13,76.42,4.94,36.11
2023-01-16,75.05,4.970000000000001,35.52
2023-01-17,75.04,4.99,35.75
2023-01-18,76.25,5,35.9
2023-01-19,82.06,4.92,35.13
2023-01-20,81.01,4.930000000000001,35.28
2023-01-23,81.52,4.96,35.46
2023-01-24,80.88,4.95,35
2023-01-25,78.29,4.95,34.7
2023-01-26,83.51,4.96,34.98
2023-01-27,86.71000000000001,4.970000000000001,35.33
2023-01-30,85.2,4.96,35.14
2023-01-31,86.67999999999999,4.94,34.98
2023-02-01,91.91000000000001,4.95,34.690000000000005
2023-02-02,93.5,5.03,34.17
2023-02-03,91.14999999999999,5.04,34.51
2023-02-06,91.78,5.01,34.2
2023-02-07,87.52,5,35.220000000000006
2023-02-09,87.36,5.04,36.41
2023-02-10,89.7,4.98,37.230000000000004
2023-02-13,88.86,5.03,37.2
2023-02-14,89.96000000000001,5.03,37.32
2023-02-15,87.75,5.05,37.14
2023-02-16,92.85,5.05,37.49
2023-02-17,93.69,5.04,36.77
2023-02-20,93.73,5.05,36.790000000000006
2023-02-21,95.35,5.03,36.5
2023-02-23,93.26,5.02,36.4
2023-02-24,95.83,4.970000000000001,36.260000000000005
2023-02-27,95.11999999999999,5.02,36.75
2023-02-28,96.33,4.99,36.690000000000005
2023-04-03,89.82,5.01,35.730000000000004
2023-04-04,94.11999999999999,5.01,35.220000000000006
2023-04-06,94.3,5.02,35.56
2023-04-11,95.52,5.05,35.82
2023-04-12,93.9,5.06,35.89
2023-04-13,90.51,5.08,35.87
2023-04-14,92.3,5.109999999999999,35.949999999999996
2023-04-17,90.55,5.109999999999999,35.51
2023-04-18,90.55,5.119999999999999,35.449999999999996
2023-04-20,90.67999999999999,5.13,34.849999999999994
2023-04-21,88.6,5.1499999999999995,34.87
2023-04-24,85.7,5.159999999999999,35.09
2023-04-25,84.73,5.1499999999999995,34.690000000000005
2023-04-26,83.31,5.1,34.78
2023-04-27,85,5.119999999999999,34.43
2023-04-28,84,5.1499999999999995,35.1
2023-08-01,84.69,5.1899999999999995,34.190000000000005
2023-08-02,81.88,5.119999999999999,33.620000000000005
2023-08-03,83.52,5.08,33.87
2023-08-04,83.33,5.09,34.41
2023-08-07,82.28,5.1,34.25
2023-08-08,81.46000000000001,5.1,34.13
2023-08-10,82.24000000000001,5.159999999999999,35.05
2023-08-11,84.2,5.1,34.86
2023-08-14,85.34,5.109999999999999,34.6
2023-08-15,86.71000000000001,5.06,34.339999999999996
2023-08-16,87.01,5.06,34.32
2023-08-17,86.84,5,34.42
2023-08-18,86.67999999999999,4.970000000000001,34.309999999999995
2023-08-21,86,4.970000000000001,34.52
2023-08-22,87.86,5.01,34.690000000000005
2023-08-24,85.51,5.02,34.41
2023-08-25,85.5,5.01,34.53
2023-08-29,84.64,5.119999999999999,35.03
2023-08-30,84.57,5.109999999999999,35.05
2023-08-31,85.52,5.09,35.03
2023-09-01,84,5.09,35.690000000000005
2023-09-04,83.42,5.09,35.64
2023-09-05,83.41000000000001,5.07,36.07
2023-09-08,82.09,5.05,36.120000000000005
2023-09-11,80.98,5.06,36.339999999999996
2023-09-12,80.6,5.05,36.46
2023-09-13,80.5,5.03,36.28
2023-09-14,81.69,5.109999999999999,37.160000000000004
2023-09-15,82.33,5.119999999999999,37.13
2023-09-18,80.26,5.06,36.96
2023-09-19,79.5,5.05,37.32
2023-09-20,79.8,5.1,37.160000000000004
2023-09-21,81.78,5.03,36.879999999999995
2023-09-22,84.03,5.01,36.98
2023-09-25,83.92,4.98,36.91
2023-09-26,82.44000000000001,4.95,36.67
2023-09-27,81.36999999999999,4.930000000000001,37.24
2023-09-28,81.9,4.95,37.5
2023-09-29,81.64999999999999,4.98,37.02
2023-11-02,77.88,4.89,36.94
2023-11-03,78.35,4.91,36.120000000000005
2023-11-06,76.02,4.9,36.39
2023-11-07,75.58,4.9,35.49
2023-11-08,74.56,4.92,35.33
2023-11-09,75.75,4.970000000000001,35.6
2023-11-10,76.46000000000001,4.91,35.71
2023-11-13,77.01,4.94,36.18
2023-11-14,76.61999999999999,5.02,36.160000000000004
2023-11-15,79.45,5.04,36.24
2023-11-16,79,5.02,35.37
2023-11-17,76.55,5.07,35.96
2023-11-20,76.35,5.07,36.46
2023-11-21,75.69,5.07,36.18
2023-11-22,74.84,5.09,35.57
2023-11-23,74.5,5.1,36.03
2023-11-24,75.9,5.109999999999999,36.27
2023-11-27,74.57,5.1,36.13
2023-11-28,71.71000000000001,5.08,36.2
2023-11-30,70.79,5.1499999999999995,36.27
2024-01-08,69.61999999999999,5.359999999999999,35.720000000000006
2024-01-15,63.5,5.33,35.27
2024-01-16,63.2,5.319999999999999,34.67
2024-01-17,62.96,5.26,34.02
2024-01-18,61.28,5.29,33.98
2024-01-19,61.93,5.2700000000000005,33.809999999999995
2024-01-22,59.74,5.33,33.8
2024-01-23,60.55,5.3,34.01
2024-01-24,62,5.37,34.28
2024-01-25,61.949999999999996,5.39,34.41
2024-01-26,61.949999999999996,5.44,34.86
2024-01-29,60.809999999999995,5.45,35.17
2024-01-30,59.82,5.46,35.160000000000004
2024-01-31,62.27,5.46,35.04
2024-02-01,61.09,5.430000000000001,35.4
2024-02-02,60.92,5.430000000000001,34.9
2024-02-05,60.68,5.430000000000001,34.53
2024-02-06,60.25,5.46,35.220000000000006
2024-02-08,59.849999999999994,5.44,34.720000000000006
2024-02-09,57.24,5.44,34.77
2024-02-12,55.839999999999996,5.470000000000001,35.01
2024-02-13,54.24,5.41,34.94
2024-02-14,54.07,5.44,34.879999999999995
2024-02-15,54.87,5.48,34.760000000000005
2024-02-16,55.120000000000005,5.52,34.91
2024-02-19,53,5.53,34.99
2024-02-20,51.8,5.53,34.61
2024-02-22,51.55,5.57,34.89
2024-02-23,49.5,5.59,34.809999999999995
2024-02-26,50.65,5.57,34.65
2024-02-27,51.120000000000005,5.58,34.8
2024-02-28,54.94,5.55,34.620000000000005
2024-02-29,54.9,5.56,34.6
2024-04-02,57.07,5.67,37.790000000000006
2024-04-04,56.37,5.6899999999999995,38.220000000000006
2024-04-05,57.17,5.64,38.24
2024-04-08,58.41,5.659999999999999,38.61
2024-04-09,61.3,5.63,38.64
2024-04-10,63,5.64,38.879999999999995
2024-04-11,63.42,5.619999999999999,38.77
2024-04-12,68.01,5.63,39.720000000000006
2024-04-15,68.16999999999999,5.64,38.790000000000006
2024-04-16,70.61,5.57,38.1
2024-04-18,67.14999999999999,5.58,38.04
2024-04-19,67.77,5.58,38.01
2024-04-22,65.1,5.619999999999999,38.46
2024-04-23,64.28,5.68,38.56
2024-04-24,65.35,5.6499999999999995,38.5
2024-04-25,65.08,5.609999999999999,38.44
2024-04-26,65.66,5.6899999999999995,38.61
2024-04-29,63.52,5.7,38.61
2024-04-30,65.26,5.67,38.339999999999996
2024-08-01,69.76,5.89,36.77
2024-08-02,67.02,5.74,35.86
2024-08-05,68.64999999999999,5.619999999999999,34.61
2024-08-08,68.9,5.72,35.67
2024-08-09,70.46000000000001,5.76,35.809999999999995
2024-08-12,71.14999999999999,5.75,36.04
2024-08-13,70.82,5.79,35.98
2024-08-14,70.59,5.819999999999999,35.97
2024-08-15,69.85,5.89,36.46
2024-08-16,71,5.91,36.43
2024-08-19,71.5,5.94,36.71
2024-08-20,72.4,5.92,35.92
2024-08-22,71.02,5.96,35.7
2024-08-23,70.73,5.99,36.01
2024-08-27,70.16999999999999,6,36.24
2024-08-28,70.39,6.02,36.09
2024-08-29,69.5,6.06,36.379999999999995
2024-08-30,70.07,6.08,36.06
2024-09-02,69.3,6.08,36.13
2024-09-03,68.56,6.03,35.13
2024-09-05,65.99000000000001,5.94,34.809999999999995
2024-09-06,67,5.89,34.09
2024-09-09,65.75,5.94,34.349999999999994
2024-09-10,65.83,5.91,33.8
2024-09-11,64.75,5.92,33.83
2024-09-12,65.1,5.96,34.220000000000006
2024-09-13,64.89,6,34.660000000000004
2024-09-16,64.94000000000001,5.99,34.64
2024-09-17,62.71,6.01,34.93
2024-09-18,62.8,5.98,34.97
2024-09-19,63.56,6.06,35.5
2024-09-20,63.18,5.98,35.09
2024-09-23,64,6.01,35.43
2024-09-24,63.91,6.04,35.48
2024-09-25,63.55,6.04,34.94
2024-09-26,63.879999999999995,6.13,33.879999999999995
2024-09-27,65.45,6.1499999999999995,34.120000000000005
2024-09-30,65.69,6.09,34.17
2024-11-01,64.46000000000001,5.91,33.97
2024-11-04,64.67999999999999,5.89,34.11
2024-11-05,65.06,5.88,34.13
2024-11-06,62.94,5.84,33.82
2024-11-07,65.35,5.88,34.1
2024-11-08,66.2,5.85,33.720000000000006
2024-11-11,67.6,5.92,33.86
2024-11-12,65.92,5.8,33.18
2024-11-13,65.86,5.79,33.61
2024-11-14,67.14999999999999,5.859999999999999,34.25
2024-11-15,66.78,5.819999999999999,34.61
2024-11-18,67.7,5.8,34.730000000000004
2024-11-19,69.05,5.78,34.49
2024-11-20,68.02,5.78,34.53
2024-11-21,68.79,5.81,34.949999999999996
2024-11-22,69.71000000000001,5.89,35.120000000000005
2024-11-25,69.32,5.9,34.77
2024-11-26,69.36999999999999,5.87,34.349999999999994
2024-11-28,67.91000000000001,5.87,34.44
2024-11-29,67.3,5.91,34.58
2025-01-06,73.78,5.91,35.61
2025-01-07,71.02,5.92,35.879999999999995
2025-01-08,71.5,5.91,35.4
2025-01-09,70.01,5.94,35.660000000000004
2025-01-10,70.63,5.87,35.58
2025-01-13,74.4,5.83,35.97
2025-01-14,74.45,5.83,35.7
2025-01-16,75.7,5.970000000000001,35.6
2025-01-17,77.3,6.01,35.91
2025-01-20,76.4,6,35.620000000000005
2025-01-21,77.3,6.03,35.44
2025-01-22,76.71000000000001,6.06,35.5
2025-01-23,79.06,6.08,35.690000000000005
2025-01-24,78.43,6.08,35.339999999999996
2025-01-27,77.7,6.07,34.5
2025-01-28,77.06,6.09,34.690000000000005
2025-01-30,81.57,6.17,35.53
2025-01-31,81.11,6.18,35.68
2025-02-03,80.39,6.119999999999999,35.339999999999996
2025-02-04,79.06,6.13,35.64
2025-02-05,77.86999999999999,6.159999999999999,35.8
2025-02-06,79.75,6.24,35.9
2025-02-07,80.71000000000001,6.2,36.05
2025-02-10,81.27,6.24,36.56
2025-02-11,80.08,6.25,36.849999999999994
2025-02-13,76.77,6.33,36.74
2025-02-14,75.84,6.31,36.879999999999995
2025-02-17,77.02,6.33,36.96
2025-02-18,74.53,6.35,37.06
2025-02-19,72.9,6.29,36.91
2025-02-20,71.21000000000001,6.3,36.849999999999994
2025-02-21,73.01,6.34,36.51
2025-02-24,70.8,6.319999999999999,36.32
2025-02-25,71.14999999999999,6.319999999999999,35.89
2025-02-27,69.96000000000001,6.34,36.41
2025-02-28,70.64999999999999,6.34,36.21
2025-04-01,66.71000000000001,6.1,37.36
2025-04-02,68.61999999999999,6.07,37.18
2025-04-03,65.75,5.930000000000001,35.27
2025-04-04,63.8,5.659999999999999,32.82
2025-04-07,59.760000000000005,5.4,31.23
2025-04-08,60.349999999999994,5.55,31.64
2025-04-10,62.08,5.56,30.830000000000002
2025-04-11,61.01,5.57,30.47
2025-04-14,64.6,5.71,31.43
2025-04-15,66.21000000000001,5.8,31.49
2025-04-16,65.98,5.78,31.88
2025-04-17,65.06,5.7700000000000005,32.379999999999995
2025-04-22,63.3,5.8,32.4
2025-04-24,63.93,5.930000000000001,32.8
2025-04-25,65.89,5.95,33.120000000000005
2025-04-28,64.2,5.98,33.21
2025-04-29,63.55,6,33.1
2025-04-30,65.05,6.04,32.82
2025-08-01,71.14,6.09,37.44
2025-08-04,69.52,6.14,37.54
2025-08-05,70.07,6.1499999999999995,37.78
2025-08-06,70.74000000000001,6.13,38.260000000000005
2025-08-07,70.1,6.21,37.75
2025-08-08,72.14,6.22,37.760000000000005
2025-08-11,72.17999999999999,6.21,37.82
2025-08-12,71.3,6.22,38.37
2025-08-14,70.54,6.29,37.91
2025-08-15,70.13,6.3,37.949999999999996
2025-08-18,70.21000000000001,6.31,38.120000000000005
2025-08-19,71.36999999999999,6.359999999999999,38.220000000000006
2025-08-20,70.47,6.37,38.190000000000005
2025-08-21,71.19,6.359999999999999,38.51
2025-08-22,72.05,6.39,38.730000000000004
2025-08-26,71.31,6.3,38.57
2025-08-28,71.17999999999999,6.3,38.56
2025-08-29,71.3,6.25,38.53
2025-09-01,73.14,6.26,38.51
2025-09-02,73.5,6.159999999999999,38.18
2025-09-03,73.27,6.21,37.849999999999994
2025-09-04,74.38,6.25,38.03
2025-09-05,75.44000000000001,6.25,37.349999999999994
2025-09-08,75.21000000000001,6.28,37.58
2025-09-09,76.4,6.28,38.02
2025-09-11,76.07,6.3,38.06
2025-09-12,75.02,6.29,37.91
2025-09-15,75.02,6.31,38.02
2025-09-16,76.16999999999999,6.24,37.99
2025-09-17,77.53,6.25,37.58
2025-09-18,77.22,6.3,37.87
2025-09-19,76.57,6.29,37.58
2025-09-22,76.8,6.29,37.75
2025-09-23,75.6,6.3,38.21
2025-09-25,75.56,6.23,38.879999999999995
2025-09-26,75.16999999999999,6.2700000000000005,39.379999999999995
2025-09-29,75.2,6.3,38.839999999999996
2025-09-30,75.95,6.33,38.230000000000004
